"Item","Qty","Reference(s)","Value","Size","Mouser P/N","URL"
"Capacitor","1","C157","47nF","0603","581-06035D473K","https://mou.sr/4c1Fkjk"
"Transistor","2","Q8, Q9","NPN","SOT-23-3","583-MMBT3904","https://mou.sr/46mip0E"
"Transistor","1","Q7","PNP","SOT-23-3","771-PMBT3906-T/R","https://mou.sr/3YtByMa"
"Resistor","3","R141, R142, 143","4.7K","0603","791-RMC1/16K4701FTP","https://mou.sr/46qHLKN"
"Resistor","1","R145","22K","0603","71-CRCW060322K0FKEBC","https://mou.sr/3ycOOKF"
"Resistor","1","R135","15K","0603","603-RC0603FR-0715KP","https://mou.sr/3WE0xeG"
"Resistor","1","R140","470","0603","755-SFR03EZPJ471","https://mou.sr/3WkUL05"
"Resistor","1","R139","8.2K","0603","603-RC0603JR-138K2L","https://mou.sr/46luQtP"
"Resistor","4","R136, R137, R138, R144","47K","0603","603-AF0603FR-0747KL","https://mou.sr/3yg4UTL"

"IC","1","U20","LM393","SOIC","511-LM393DT","https://mou.sr/3yd6IwT"
