"Item","Qty","Reference(s)","Value","Size","Mouser P/N","URL"
"Capacitor","1","C288","47nF","0603","581-06035D473K","https://mou.sr/4c1Fkjk"
"Transistor","2","Q26, Q27","NPN","SOT-23-3","583-MMBT3904","https://mou.sr/46mip0E"
"Transistor","1","Q25","PNP","SOT-23-3","771-PMBT3906-T/R","https://mou.sr/3YtByMa"
"Resistor","4","R206, R207, R208, R214","47K","0603","603-AF0603FR-0747KL","https://mou.sr/3yg4UTL"
"Resistor","1","R215","22K","0603","71-CRCW060322K0FKEBC","https://mou.sr/3ycOOKF"
"Resistor","1","R205","15K","0603","603-RC0603FR-0715KP","https://mou.sr/3WE0xeG"
"Resistor","1","R209","8.2K","0603","603-RC0603JR-138K2L","https://mou.sr/46luQtP"
"Resistor","3","R211, R212, R213","4.7K","0603","791-RMC1/16K4701FTP","https://mou.sr/46qHLKN"
"Resistor","1","R210","470","0603","755-SFR03EZPJ471","https://mou.sr/3WkUL05"
"IC","1","U23","LM393","SOIC","511-LM393DT","https://mou.sr/3yd6IwT"
